selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_n,h2_n,h1_precision_pct,h2_precision_pct,long_n,short_n,long_precision_pct,short_precision_pct
S::cand_refill_with_le_0.5::top1,single+top1,29,1.0,8,2,27.59,6.5,6.9,14,15,35.71,20.0,16,13,31.25,23.08
S::cand_refill_with_le_0.5::top2,single+top2,58,2.0,12,3,20.69,9.76,5.17,28,30,21.43,20.0,32,26,18.75,23.08
S::cand_refill_with_ge_0.5005,single,418,14.414,51,45,12.2,41.46,10.77,182,236,14.29,10.59,203,215,11.82,12.56
S::cand_refill_with_ge_0.5005::top1,single+top1,29,1.0,8,0,27.59,6.5,0.0,14,15,28.57,26.67,12,17,25.0,29.41
S::cand_refill_with_ge_0.5005::top2,single+top2,58,2.0,15,1,25.86,12.2,1.72,28,30,32.14,20.0,25,33,36.0,18.18
S::cand_refill_with_le_0.5005,single,626,21.586,72,94,11.5,58.54,15.02,324,302,12.65,10.26,305,321,12.79,10.28
S::cand_refill_with_le_0.5005::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,14,15,35.71,13.33,17,12,29.41,16.67
S::cand_refill_with_le_0.5005::top2,single+top2,58,2.0,12,2,20.69,9.76,3.45,28,30,25.0,16.67,27,31,29.63,12.9
S::cand_refill_with_ge_0.5012,single,210,7.241,20,20,9.52,16.26,9.52,93,117,9.68,9.4,109,101,9.17,9.9
S::cand_refill_with_ge_0.5012::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,14,15,28.57,20.0,15,14,26.67,21.43
S::cand_refill_with_ge_0.5012::top2,single+top2,58,2.0,11,5,18.97,8.94,8.62,28,30,17.86,20.0,28,30,17.86,20.0
S::cand_refill_with_le_0.5012,single,834,28.759,103,119,12.35,83.74,14.27,413,421,14.04,10.69,399,435,13.28,11.49
S::cand_refill_with_le_0.5012::top1,single+top1,29,1.0,9,2,31.03,7.32,6.9,14,15,35.71,26.67,17,12,35.29,25.0
S::cand_refill_with_le_0.5012::top2,single+top2,58,2.0,12,3,20.69,9.76,5.17,28,30,25.0,16.67,31,27,25.81,14.81
S::cand_prior_move_pct_ge_0.0,single,1043,35.966,123,139,11.79,100.0,13.33,506,537,13.24,10.43,508,535,12.4,11.21
S::cand_prior_move_pct_ge_0.0::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_ge_0.0::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,28,30,32.14,23.33,33,25,30.3,24.0
S::cand_prior_move_pct_le_0.0,single,905,31.207,105,127,11.6,85.37,14.03,448,457,12.5,10.72,444,461,12.61,10.63
S::cand_prior_move_pct_le_0.0::top1,single+top1,29,1.0,11,2,37.93,8.94,6.9,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_le_0.0::top2,single+top2,58,2.0,14,4,24.14,11.38,6.9,28,30,28.57,20.0,30,28,26.67,21.43
S::cand_prior_move_pct_ge_0.0,single,1043,35.966,123,139,11.79,100.0,13.33,506,537,13.24,10.43,508,535,12.4,11.21
S::cand_prior_move_pct_ge_0.0::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_ge_0.0::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,28,30,32.14,23.33,33,25,30.3,24.0
S::cand_prior_move_pct_le_0.0,single,905,31.207,105,127,11.6,85.37,14.03,448,457,12.5,10.72,444,461,12.61,10.63
S::cand_prior_move_pct_le_0.0::top1,single+top1,29,1.0,11,2,37.93,8.94,6.9,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_le_0.0::top2,single+top2,58,2.0,14,4,24.14,11.38,6.9,28,30,28.57,20.0,30,28,26.67,21.43
S::cand_prior_move_pct_ge_0.0,single,1043,35.966,123,139,11.79,100.0,13.33,506,537,13.24,10.43,508,535,12.4,11.21
S::cand_prior_move_pct_ge_0.0::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_ge_0.0::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,28,30,32.14,23.33,33,25,30.3,24.0
S::cand_prior_move_pct_le_0.0,single,905,31.207,105,127,11.6,85.37,14.03,448,457,12.5,10.72,444,461,12.61,10.63
S::cand_prior_move_pct_le_0.0::top1,single+top1,29,1.0,11,2,37.93,8.94,6.9,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_le_0.0::top2,single+top2,58,2.0,14,4,24.14,11.38,6.9,28,30,28.57,20.0,30,28,26.67,21.43
S::cand_prior_move_pct_ge_0.0,single,1043,35.966,123,139,11.79,100.0,13.33,506,537,13.24,10.43,508,535,12.4,11.21
S::cand_prior_move_pct_ge_0.0::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_ge_0.0::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,28,30,32.14,23.33,33,25,30.3,24.0
S::cand_prior_move_pct_le_0.0,single,905,31.207,105,127,11.6,85.37,14.03,448,457,12.5,10.72,444,461,12.61,10.63
S::cand_prior_move_pct_le_0.0::top1,single+top1,29,1.0,11,2,37.93,8.94,6.9,14,15,42.86,33.33,16,13,37.5,38.46
S::cand_prior_move_pct_le_0.0::top2,single+top2,58,2.0,14,4,24.14,11.38,6.9,28,30,28.57,20.0,30,28,26.67,21.43
S::conf_cycles_seen_ge_12.0,single,849,29.276,105,106,12.37,85.37,12.49,416,433,13.94,10.85,417,432,13.19,11.57
