feature,good_mean,bad_mean,wrong_mean,d_good_vs_bad,d_long,d_short,d_h1,d_h2,good_n,bad_n
dl2_inband_n_events_15m,1307476.5366,1452287.1977,1547861.3669,-0.2385,-0.1581,-0.3138,-0.1826,-0.4117,123,774
dl2_inband_n_events_60m,3423220.935,3907814.4173,4286407.4029,-0.2385,-0.3422,-0.1428,-0.2555,-0.284,123,774
dl2_cancel_vol_ask_5m,3099694.2811,3567192.1734,3967244.4004,-0.237,-0.137,-0.3252,-0.1981,-0.3143,123,774
dl2_add_vol_ask_5m,3100425.326,3567487.3485,3967559.7605,-0.2368,-0.1366,-0.3252,-0.198,-0.314,123,774
dl2_opposing_large_add_15m,102932.5122,114297.0698,122612.5036,-0.2368,-0.1331,-0.3331,-0.1411,-0.4113,123,774
dl2_microprice_delta_30m_bps,6.7466,-2.0352,8.8132,0.2085,-0.0957,0.4837,0.0861,0.3326,104,734
dl2_inband_supp_add_5m_vs_avg5m_ratio,1.967,1.7217,1.7364,0.2059,0.3231,0.0858,0.1482,0.2718,123,774
dl2_microprice_delta_15m_bps,4.2327,-0.9493,1.9497,0.2035,0.1584,0.2472,0.1335,0.2706,111,758
dl2_microprice_now,69249.1159,69625.9478,69436.8453,-0.1873,-0.1021,-0.2744,-0.4223,0.0358,123,774
dl2_inband_opp_cancel_1m,551662.2026,615628.1857,673974.402,-0.1851,-0.1312,-0.2366,-0.1302,-0.3161,123,774
dl2_inband_opp_add_1m,551294.5609,615144.6724,673204.6824,-0.1848,-0.1322,-0.2349,-0.1288,-0.3174,123,774
dl2_net_opposing_flow_15m,466.9741,-351.9625,-765.9666,0.1827,0.0477,0.3449,0.1159,0.2508,123,774
dl2_inband_add_vol_1m,1117337.594,1238746.1268,1360431.5473,-0.182,-0.1251,-0.2363,-0.1059,-0.341,123,774
dl2_inband_cancel_vol_1m,1117356.1063,1238546.83,1360369.9744,-0.1818,-0.1246,-0.2363,-0.1063,-0.3399,123,774
dl2_n_large_cancel_bid_5m,38552.8293,41936.0711,46275.3094,-0.1746,-0.0906,-0.2485,-0.1082,-0.3181,123,774
dl2_n_large_add_bid_5m,36937.3659,40091.4276,44216.0935,-0.1735,-0.0932,-0.2446,-0.1033,-0.325,123,774
dl2_inband_supp_refill_ratio_15m,1.0004,1.0002,1.0002,0.1728,0.1271,0.2177,-0.0023,0.3635,123,774
dl2_inband_supp_add_1m,566043.0331,623601.4544,687226.865,-0.1709,-0.1108,-0.2292,-0.0767,-0.349,123,774
dl2_inband_supp_cancel_1m,565693.9037,622918.6442,686395.5724,-0.1701,-0.1109,-0.2274,-0.0761,-0.3482,123,774
