variant,zone_id,date,direction,entry_sec,exit_sec,entry_price,exit_price,exit_reason,pnl_pct,mfe_pct,mae_pct,time_in_trade_h,used_stop_pct
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1773620946000-4,2026-03-16,SHORT,1773624002,1773632029,72421.1,73507.41649999999,stop,-1.5,0.129244,1.627841,2.2297,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1773638712000-12,2026-03-16,SHORT,1773642140,1773705599,73789.4,74842.3,timeout,-1.426899,1.301813,1.47799,17.6275,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1773792030000-1,2026-03-18,SHORT,1773794331,1773838882,73612.1,72139.85800000001,target_2pct,2.0,2.014207,1.402351,12.3753,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1773842088000-33,2026-03-18,SHORT,1773844998,1773878399,71485.8,71211.6,timeout,0.383573,1.445042,0.670203,9.2781,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1773879450000-2,2026-03-19,SHORT,1773881406,1773904965,71024.5,69604.01,target_2pct,2.0,2.003534,0.786208,6.5442,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1773910669000-22,2026-03-19,LONG,1773911877,1773934966,69962.6,68913.16100000001,stop,-1.5,0.816436,1.518811,6.4136,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1773943584000-43,2026-03-19,LONG,1773947788,1773964799,70269.9,69884.8,timeout,-0.54803,0.548314,0.844601,4.7253,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1773965776000-2,2026-03-20,LONG,1773968068,1774051199,70159.9,70476.2,timeout,0.450827,1.687289,1.147807,23.0919,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774051508000-1,2026-03-21,LONG,1774053081,1774136991,70579.9,69521.2015,stop,-1.5,0.719468,1.501702,23.3083,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774139842000-3,2026-03-22,SHORT,1774141686,1774213537,68904.6,67526.508,target_2pct,2.0,2.000882,0.975552,19.9586,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774214168000-32,2026-03-22,LONG,1774219233,1774223999,68184.8,67830.9,timeout,-0.519031,0.370464,0.559949,1.3239,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774224201000-1,2026-03-23,SHORT,1774227071,1774245419,67841.7,68859.32549999999,stop,-1.5,0.503525,1.521631,5.0967,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774244879000-18,2026-03-23,SHORT,1774248692,1774263918,67806.7,68823.8005,stop,-1.5,0.497001,1.501474,4.2294,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774265760000-20,2026-03-23,SHORT,1774267371,1774269748,69693.7,70739.10549999999,stop,-1.5,0.053807,1.509462,0.6603,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774270395000-24,2026-03-23,LONG,1774273953,1774281216,71510.7,70438.0395,stop,-1.5,0.372392,1.514459,2.0175,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774288091000-35,2026-03-23,LONG,1774292508,1774310399,70958.2,70862.0,timeout,-0.135573,0.359085,0.834576,4.9697,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774311890000-5,2026-03-24,SHORT,1774313248,1774371901,70622.3,69209.854,target_2pct,2.0,2.162773,1.065811,16.2925,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774385370000-34,2026-03-24,LONG,1774389393,1774396799,70198.0,70523.8,timeout,0.464116,0.864555,0.166671,2.0572,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774396839000-1,2026-03-25,SHORT,1774399530,1774438507,70897.9,71961.36849999998,stop,-1.5,0.755453,1.508084,10.8269,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774439218000-24,2026-03-25,SHORT,1774442033,1774483199,71273.9,71307.0,timeout,-0.046441,1.015659,0.973849,11.435,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774483234000-1,2026-03-26,LONG,1774487042,1774503948,71275.8,70206.663,stop,-1.5,0.1027,1.516363,4.6961,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774527206000-27,2026-03-26,SHORT,1774529420,1774569599,69358.1,68799.5,timeout,0.805385,1.791139,0.699558,11.1608,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774570637000-2,2026-03-27,SHORT,1774572747,1774607849,68667.8,67294.444,target_2pct,2.0,2.158654,0.722609,9.7506,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774623813000-24,2026-03-27,LONG,1774625932,1774635881,66519.9,65522.10149999999,stop,-1.5,0.00015,1.515787,2.7636,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774657037000-3,2026-03-28,LONG,1774658772,1774742399,66442.1,66340.0,timeout,-0.153668,1.282771,0.814393,23.2297,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774742430000-1,2026-03-29,SHORT,1774744667,1774824324,66340.0,65013.2,target_2pct,2.0,2.061652,1.167018,22.1269,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774826131000-24,2026-03-29,SHORT,1774828438,1774828799,65865.2,65980.4,timeout,-0.174903,0.014272,0.254915,0.1003,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774829268000-2,2026-03-30,LONG,1774830855,1774857917,66469.9,67799.298,target_2pct,2.0,2.12442,0.588236,7.5172,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774872672000-23,2026-03-30,LONG,1774874307,1774891394,67903.1,66884.55350000001,stop,-1.5,0.435621,1.511124,4.7464,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-SHORT-1774891237000-28,2026-03-30,SHORT,1774895929,1774915199,66738.7,66765.2,timeout,-0.039707,0.790995,0.341931,5.3528,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774915354000-1,2026-03-31,LONG,1774918384,1774950963,67054.7,66048.8795,stop,-1.5,1.989719,1.522339,9.0497,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774950763000-22,2026-03-31,LONG,1774956593,1774975298,66605.4,67937.508,target_2pct,2.0,2.021608,0.324899,5.1958,1.5
B_delay15_stop_1.5pct,BTC-USDT-SWAP-LONG-1774990827000-28,2026-03-31,LONG,1774994877,1775001599,68137.9,68241.2,timeout,0.151604,0.300127,0.305117,1.8672,1.5
