venue,date,dir,regime,status,reasons,confluence,hypo_entry,outcome,true_mfe
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,1,73572.9,LOSS,0.36
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,1,73572.9,LOSS,0.36
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,2,73574.7,WIN,4.028
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short,3,73436.0,LOSS,0.123
OKX_MARCH,2026-03-04,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,1,73771.6,WIN,4.284
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short;buyer_absorption,3,72780.0,LOSS,1.025
OKX_MARCH,2026-03-04,LONG,TREND_UP,REJECT,not_trend_down;not_short,3,72693.4,LOSS,1.145
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,72767.6,LOSS,1.042
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,2,72842.4,WIN,3.063
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,2,72882.1,WIN,3.116
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,72873.0,LOSS,0.896
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,72830.4,LOSS,0.955
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;buyer_absorption,3,72568.6,LOSS,1.319
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short,4,72610.3,LOSS,1.261
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down;buyer_absorption,2,72629.0,WIN,3.148
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,2,72764.6,LOSS,1.046
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down,2,72387.4,LOSS,3.145
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,3,72825.1,WIN,3.04
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;buyer_absorption,3,72354.0,LOSS,1.62
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down,3,72341.3,LOSS,3.083
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down,4,72110.3,LOSS,2.773
OKX_MARCH,2026-03-05,SHORT,TREND_UP,REJECT,not_trend_down,3,71950.7,LOSS,2.557
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short,4,72328.9,LOSS,1.655
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short,4,71946.0,WIN,2.196
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,73259.0,LOSS,0.364
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,73259.0,LOSS,0.364
OKX_MARCH,2026-03-05,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,3,73180.7,LOSS,0.001
OKX_MARCH,2026-03-05,LONG,TREND_UP,REJECT,not_trend_down;not_short;buyer_absorption,3,73027.0,LOSS,0.035
OKX_MARCH,2026-03-05,LONG,RANGE,REJECT,not_trend_down;not_short,2,72819.6,LOSS,0.32
OKX_MARCH,2026-03-05,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,4,71484.3,LOSS,0.427
OKX_MARCH,2026-03-05,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,4,71481.1,LOSS,0.431
OKX_MARCH,2026-03-05,SHORT,TREND_DOWN,CANDIDATE,microprice_down;thin_bid_path,2,70721.1,WIN,4.262
OKX_MARCH,2026-03-05,SHORT,TREND_DOWN,CANDIDATE,microprice_down;thin_bid_path,2,70765.9,WIN,4.322
OKX_MARCH,2026-03-05,SHORT,TREND_DOWN,CANDIDATE,rejection_proof;taker_sell;microprice_down;thin_bid_path,4,70907.4,WIN,3.93
OKX_MARCH,2026-03-05,LONG,RANGE,REJECT,not_trend_down;not_short,2,70925.0,LOSS,0.945
OKX_MARCH,2026-03-05,LONG,TREND_DOWN,REJECT,not_short;no_fresh_weakness_60m;buyer_absorption,4,71345.2,LOSS,0.312
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,REJECT,buyer_absorption,2,70827.1,WIN,4.405
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,REJECT,buyer_absorption,2,70942.7,WIN,4.561
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,REJECT,buyer_absorption,1,70845.6,WIN,4.43
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;buyer_absorption,3,70881.4,LOSS,0.728
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,4,70934.2,LOSS,0.653
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,3,70853.4,LOSS,0.768
OKX_MARCH,2026-03-06,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,71231.9,WIN,4.948
OKX_MARCH,2026-03-06,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,71195.1,LOSS,0.098
OKX_MARCH,2026-03-06,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,3,71128.6,LOSS,0.123
OKX_MARCH,2026-03-06,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,71067.0,WIN,4.728
OKX_MARCH,2026-03-06,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,3,70907.3,LOSS,0.354
OKX_MARCH,2026-03-06,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,1,71082.8,WIN,4.749
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,REJECT,buyer_absorption,2,70364.7,WIN,3.777
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,microprice_down;thin_bid_path,2,70217.8,WIN,3.575
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,3,70400.0,LOSS,1.077
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,3,70197.6,LOSS,1.368
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,REJECT,buyer_absorption,2,70390.0,WIN,3.811
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,REJECT,buyer_absorption,2,70390.0,WIN,3.811
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;no_fresh_weakness_60m;buyer_absorption,1,70523.4,LOSS,0.9
OKX_MARCH,2026-03-06,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,3,71047.7,LOSS,0.014
OKX_MARCH,2026-03-06,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,4,71088.8,LOSS,0.016
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;buyer_absorption,4,70547.8,LOSS,0.865
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;no_fresh_weakness_60m;buyer_absorption,2,70554.9,LOSS,0.093
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,microprice_down;thin_bid_path,2,70078.4,WIN,3.813
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;buyer_absorption,2,69723.6,LOSS,0.857
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;buyer_absorption,2,69742.1,LOSS,0.83
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,4,68949.7,LOSS,0.172
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,rejection_proof;microprice_down;thin_bid_path,3,68720.0,TIMEOUT,1.911
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,taker_sell;microprice_down;thin_bid_path,3,68737.2,TIMEOUT,1.936
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,microprice_down;thin_bid_path,2,68396.5,TIMEOUT,1.447
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,rejection_proof;microprice_down;thin_bid_path,3,68277.5,TIMEOUT,1.276
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,microprice_down;thin_bid_path,2,68356.1,TIMEOUT,1.389
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;no_fresh_weakness_60m,4,68639.7,LOSS,0.057
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;no_fresh_weakness_60m,2,68516.2,LOSS,0.349
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short;no_fresh_weakness_60m,2,68516.2,LOSS,0.349
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,4,67996.5,TIMEOUT,0.777
OKX_MARCH,2026-03-06,SHORT,TREND_DOWN,CANDIDATE,rejection_proof;taker_sell;microprice_down;thin_bid_path,4,67878.6,TIMEOUT,0.696
OKX_MARCH,2026-03-06,LONG,TREND_DOWN,REJECT,not_short,4,68342.7,TIMEOUT,0.266
