_venue,_date,id,direction,sim_label,strong_label,true_mfe,true_mae,sim_outcome,sim_pnl_after_cost,taker_imbalance_15m,supportive_taker_imb_15m,eng_ofi,reclaim_zoneMid_preconfirm,regime_1d,dist_to_recent_swing_high_pct,cv_mate_dmin,cv_match_5m,cv_match_15m,cv_same_dir,cv_mate_taker,cv_confirm,cv_conflict,cv_lead
OKX,2026-05-24,BTC-USDT-SWAP-SHORT-1779618722000-11,SHORT,NOISE,MID,1.426,-0.756,TIMEOUT,-0.5626,-0.0606,0.0606,-0.16899889092988746,0,BULL,0.4906,13.23,0,1,1,0.4642,0,1,other
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779633027000-22,LONG,MID,MID,1.649,-0.552,TIMEOUT,1.255,0.1408,0.1408,0.08966505924177404,0,BULL,1.1153,112.5,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779633195000-23,LONG,MID,MID,1.678,-0.523,TIMEOUT,1.2975,-0.1077,-0.1077,0.3348772513720448,0,BULL,1.1448,108.45,0,0,,,0,0,
OKX,2026-05-24,BTC-USDT-SWAP-LONG-1779638451000-25,LONG,MID,MID,1.882,-0.507,TIMEOUT,1.3246,-0.231,-0.231,0.15155318661493597,0,BULL,1.172,22.12,0,0,0,0.1131,1,0,self
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779667741000-2,SHORT,NOISE,MID,0.349,-0.988,TIMEOUT,-0.2326,0.2654,-0.2654,0.25115237884436376,1,RANGE,0.1078,7.7,0,1,1,0.1065,0,1,other
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779672105000-4,SHORT,MID,MID,0.861,-0.885,TIMEOUT,0.4125,0.1632,-0.1632,-0.022645633674687665,0,RANGE,0.1122,43.97,0,0,,,0,0,
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779667627000-1,LONG,NOISE,MID,0.981,-0.356,TIMEOUT,-0.224,0.0854,0.0854,-0.23468054953933934,0,RANGE,0.1013,18.12,0,0,0,0.1065,1,0,other
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779669015000-3,LONG,NOISE,MID,0.952,-0.385,TIMEOUT,-0.2889,0.0043,0.0043,0.34723819349073226,0,RANGE,0.126,33.27,0,0,,,0,0,
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779681560000-7,SHORT,MID,MID,0.746,-1.133,TIMEOUT,0.4,0.3651,-0.3651,-0.24529560191354816,0,RANGE,0.5787,7.67,0,1,1,-0.0049,0,0,self
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779674564000-5,LONG,NOISE,MID,0.998,-0.749,TIMEOUT,-0.6785,-0.216,-0.216,0.06228708025490333,0,RANGE,0.4451,26.73,0,0,0,0.2846,1,0,other
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779702378000-10,LONG,NOISE,MID,0.398,-1.467,TIMEOUT,-1.3651,-0.1091,-0.1091,-0.3580383387242172,1,BULL,0.2128,12.02,0,1,0,0.3882,1,0,other
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779701431000-8,SHORT,MID,MID,1.45,-0.415,TIMEOUT,0.9686,0.3944,-0.3944,0.015073385182218893,1,RANGE,0.2303,0.18,1,1,1,0.3882,0,1,self
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779703109000-11,LONG,NOISE,MID,0.414,-1.451,TIMEOUT,-1.3979,-0.4001,-0.4001,0.21965542722683554,0,RANGE,0.2286,29.82,0,0,0,0.3882,1,0,other
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779718645000-12,LONG,MID,MID,0.704,-1.407,TIMEOUT,0.478,-0.0316,-0.0316,0.041752063432771484,1,BULL,0.0992,47.72,0,0,,,0,0,
OKX,2026-05-25,BTC-USDT-SWAP-LONG-1779720864000-13,LONG,NOISE,MID,0.516,-1.592,LOSS,-1.64,0.1878,0.1878,0.01826068603119438,0,BULL,0.1084,16.05,0,0,0,0.1995,1,0,self
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779675125000-6,SHORT,MID,MID,0.715,-1.033,TIMEOUT,0.4183,-0.2396,0.2396,0.02725973307258541,1,RANGE,0.48,23.97,0,0,1,0.2846,0,1,other
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779721805000-14,SHORT,MID,MID,1.635,-0.472,TIMEOUT,0.905,0.1454,-0.1454,0.015778555494814193,1,BULL,0.227,0.38,1,1,1,0.1995,0,1,other
OKX,2026-05-25,BTC-USDT-SWAP-SHORT-1779701826000-9,SHORT,MID,MID,1.439,-0.427,TIMEOUT,1.0269,0.3266,-0.3266,0.029802365829835684,0,BULL,0.2417,4.08,1,1,1,0.3882,0,1,other
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779753601000-1,SHORT,GOOD,WEAK_WIN_2,2.069,-1.091,WIN,1.86,0.0581,-0.0581,0.0012319638321117428,1,RANGE,0.325,3.57,1,1,0,-0.1643,1,0,other
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779754025000-2,SHORT,MID,MID,1.867,-1.3,TIMEOUT,1.4249,-0.1994,0.1994,-0.20262156944486173,1,RANGE,0.5005,0.78,1,1,0,-0.2975,1,0,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779756601000-5,SHORT,NOISE,MID,1.279,-1.907,LOSS,-1.64,-0.127,0.127,-0.021360614977917868,1,RANGE,1.0621,9.02,0,1,0,-0.1142,1,0,other
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779757505000-6,SHORT,NOISE,MID,1.35,-1.833,LOSS,-1.64,-0.0482,0.0482,-0.1055499851358665,0,RANGE,0.9886,14.67,0,1,0,-0.1142,1,0,other
OKX,2026-05-26,BTC-USDT-SWAP-LONG-1779756353000-4,LONG,NOISE,MID,1.682,-1.497,TIMEOUT,-1.1076,-0.1107,-0.1107,0.15154637360040768,1,RANGE,0.8388,0.38,1,1,1,-0.1142,0,1,self
OKX,2026-05-26,BTC-USDT-SWAP-LONG-1779754460000-3,LONG,NOISE,MID,1.541,-1.634,LOSS,-1.64,-0.1905,-0.1905,-0.010599796161805721,0,RANGE,0.6982,1.65,1,1,1,-0.2862,0,1,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779777777000-7,SHORT,NOISE,WEAK_WIN_2,2.099,-1.542,LOSS,-1.64,-0.0079,0.0079,-0.2580046551786552,1,RANGE,0.2,207.15,0,0,,,0,0,
