zone_id,date,direction,tz_entry_ref_price,tz_target_type,tz_target_price,tz_target_distance_pct,tz_has_target_ge_2pct,tz_room_to_run_pct,tz_nearest_obstacle_type
BTC-USDT-SWAP-SHORT-1773459882000-9,2026-03-14,SHORT,71135.2,blocked,,0.0664,0,0.0664,swing_high
BTC-USDT-SWAP-SHORT-1773463737000-13,2026-03-14,SHORT,70960.7,blocked,,0.1883,0,0.1883,swing_low
BTC-USDT-SWAP-LONG-1773462947000-11,2026-03-14,LONG,71253.3,open_void_2pct,72678.37,2.0,1,6.0,none_within_scan
BTC-USDT-SWAP-LONG-1773463426000-12,2026-03-14,LONG,71010.0,blocked,,0.1127,0,0.1127,swing_low
BTC-USDT-SWAP-SHORT-1773459395000-8,2026-03-14,SHORT,71112.9,blocked,,0.0534,0,0.0534,swing_low
BTC-USDT-SWAP-SHORT-1773458412000-7,2026-03-14,SHORT,70983.9,blocked,,0.1355,0,0.1355,swing_high
BTC-USDT-SWAP-LONG-1773474129000-15,2026-03-14,LONG,70474.4,blocked,,0.1782,0,0.1782,hvn
BTC-USDT-SWAP-LONG-1773484455000-16,2026-03-14,LONG,70430.5,blocked,,0.0701,0,0.0701,swing_low
BTC-USDT-SWAP-SHORT-1773470742000-14,2026-03-14,SHORT,70610.0,blocked,,0.5096,0,0.5096,session_low
BTC-USDT-SWAP-LONG-1773533645000-2,2026-03-15,LONG,71043.8,blocked,,0.1857,0,0.1857,session_high
BTC-USDT-SWAP-SHORT-1773535598000-4,2026-03-15,SHORT,70962.6,blocked,,0.053,0,0.053,session_low
BTC-USDT-SWAP-LONG-1773538526000-7,2026-03-15,LONG,70900.0,blocked,,0.0705,0,0.0705,hvn
BTC-USDT-SWAP-LONG-1773537312000-5,2026-03-15,LONG,70943.2,blocked,,0.1505,0,0.1505,hvn
BTC-USDT-SWAP-LONG-1773533193000-1,2026-03-15,LONG,70999.9,blocked,,0.2476,0,0.2476,session_high
BTC-USDT-SWAP-SHORT-1773538202000-6,2026-03-15,SHORT,70866.3,blocked,,0.0787,0,0.0787,session_low
BTC-USDT-SWAP-LONG-1773540489000-9,2026-03-15,LONG,71244.0,blocked,,0.1691,0,0.1691,session_high
BTC-USDT-SWAP-SHORT-1773534590000-3,2026-03-15,SHORT,71033.6,blocked,,0.1067,0,0.1067,session_low
BTC-USDT-SWAP-LONG-1773543685000-13,2026-03-15,LONG,71420.0,blocked,,0.2502,0,0.2502,session_high
BTC-USDT-SWAP-LONG-1773542181000-11,2026-03-15,LONG,71488.0,blocked,,0.1549,0,0.1549,session_high
BTC-USDT-SWAP-SHORT-1773540407000-8,2026-03-15,SHORT,71282.8,blocked,,0.1863,0,0.1863,hvn
BTC-USDT-SWAP-SHORT-1773540790000-10,2026-03-15,SHORT,71243.8,blocked,,0.0615,0,0.0615,hvn
BTC-USDT-SWAP-LONG-1773553188000-16,2026-03-15,LONG,71586.0,blocked,,0.1592,0,0.1592,swing_high
BTC-USDT-SWAP-SHORT-1773543427000-12,2026-03-15,SHORT,71410.1,blocked,,0.2242,0,0.2242,hvn
BTC-USDT-SWAP-SHORT-1773567808000-19,2026-03-15,SHORT,71781.6,blocked,,0.253,0,0.253,hvn
BTC-USDT-SWAP-SHORT-1773566226000-18,2026-03-15,SHORT,71815.9,blocked,,0.3006,0,0.3006,hvn
BTC-USDT-SWAP-SHORT-1773548297000-14,2026-03-15,SHORT,71481.4,blocked,,0.1139,0,0.1139,hvn
BTC-USDT-SWAP-LONG-1773565926000-17,2026-03-15,LONG,71779.3,blocked,,0.1682,0,0.1682,session_high
BTC-USDT-SWAP-LONG-1773569420000-20,2026-03-15,LONG,71803.3,blocked,,0.1347,0,0.1347,session_high
BTC-USDT-SWAP-SHORT-1773552125000-15,2026-03-15,SHORT,71660.2,blocked,,0.2236,0,0.2236,hvn
BTC-USDT-SWAP-SHORT-1773580674000-21,2026-03-15,SHORT,71324.2,blocked,,0.7202,0,0.7202,session_low
BTC-USDT-SWAP-SHORT-1773581522000-22,2026-03-15,SHORT,71294.2,blocked,,0.6785,0,0.6785,session_low
BTC-USDT-SWAP-LONG-1773598649000-23,2026-03-15,LONG,71700.3,blocked,,0.0702,0,0.0702,swing_low
BTC-USDT-SWAP-SHORT-1773601559000-24,2026-03-15,SHORT,71414.4,blocked,,0.0902,0,0.0902,hvn
BTC-USDT-SWAP-SHORT-1773601709000-25,2026-03-15,SHORT,71414.4,blocked,,0.0902,0,0.0902,hvn
BTC-USDT-SWAP-LONG-1773607034000-26,2026-03-15,LONG,71739.2,blocked,,0.321,0,0.321,session_high
BTC-USDT-SWAP-LONG-1773610605000-27,2026-03-15,LONG,72087.4,blocked,,0.1389,0,0.1389,session_high
BTC-USDT-SWAP-LONG-1773611089000-28,2026-03-15,LONG,72018.8,blocked,,0.2349,0,0.2349,session_high
BTC-USDT-SWAP-SHORT-1773612485000-30,2026-03-15,SHORT,71881.5,blocked,,0.1482,0,0.1482,swing_high
BTC-USDT-SWAP-SHORT-1773612430000-29,2026-03-15,SHORT,71881.5,blocked,,0.1482,0,0.1482,swing_high
BTC-USDT-SWAP-SHORT-1773614233000-31,2026-03-15,SHORT,72444.1,session_low,70810.5,2.255,1,0.406,hvn
BTC-USDT-SWAP-LONG-1773616458000-34,2026-03-15,LONG,72818.1,blocked,,0.4964,0,0.4964,session_high
BTC-USDT-SWAP-LONG-1773616501000-35,2026-03-15,LONG,72818.1,blocked,,0.4964,0,0.4964,session_high
BTC-USDT-SWAP-SHORT-1773614896000-32,2026-03-15,SHORT,72650.0,session_low,70810.5,2.532,1,0.6882,hvn
BTC-USDT-SWAP-SHORT-1773615446000-33,2026-03-15,SHORT,72876.3,swing_high,71410.0,2.012,1,0.9966,hvn
BTC-USDT-SWAP-LONG-1773618551000-36,2026-03-15,LONG,72619.2,blocked,,0.7717,0,0.7717,session_high
BTC-USDT-SWAP-LONG-1773619553000-1,2026-03-16,LONG,72870.0,blocked,,0.1468,0,0.1468,session_high
BTC-USDT-SWAP-SHORT-1773620946000-4,2026-03-16,SHORT,72518.2,blocked,,0.1423,0,0.1423,swing_low
BTC-USDT-SWAP-SHORT-1773623053000-5,2026-03-16,SHORT,72402.9,blocked,,0.1146,0,0.1146,session_low
BTC-USDT-SWAP-SHORT-1773626785000-7,2026-03-16,SHORT,72725.0,blocked,,0.1031,0,0.1031,hvn
BTC-USDT-SWAP-SHORT-1773628369000-8,2026-03-16,SHORT,72380.0,blocked,,0.2298,0,0.2298,session_low
