date,zone_id,direction,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-07,BTC-USDT-SWAP-SHORT-1772892481000-20,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772906920000-21,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772910598000-22,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-SHORT-1772911480000-23,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772913422000-24,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772913488000-25,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772916785000-26,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-07,BTC-USDT-SWAP-LONG-1772919621000-27,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-08,BTC-USDT-SWAP-SHORT-1772930593000-4,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-08,BTC-USDT-SWAP-LONG-1772931158000-5,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-08,BTC-USDT-SWAP-SHORT-1772928898000-2,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-08,BTC-USDT-SWAP-SHORT-1772932298000-6,SHORT,BAD,missed_no_move_in_4h,,,first
2026-03-08,BTC-USDT-SWAP-SHORT-1772937050000-7,SHORT,BAD,missed_no_move_in_4h,,,first
