zone_id,date,dir,regime,class,true_mfe,true_mae,time_to_2_min,time_to_2_5_min
BTC-USDT-SWAP-SHORT-1778600318000-14,2026-05-12,SHORT,RANGE,MID,1.402,-1.238,,
BTC-USDT-SWAP-SHORT-1778600487000-15,2026-05-12,SHORT,RANGE,MID,1.68,-1.175,,
BTC-USDT-SWAP-LONG-1778630416000-1,2026-05-13,LONG,RANGE,MID,1.094,-2.136,,
BTC-USDT-SWAP-LONG-1778632426000-4,2026-05-13,LONG,RANGE,MID,0.848,-2.375,,
BTC-USDT-SWAP-LONG-1778633826000-5,2026-05-13,LONG,RANGE,MID,0.793,-2.428,,
BTC-USDT-SWAP-SHORT-1778631137000-2,2026-05-13,SHORT,RANGE,WEAK_WIN_2,2.36,-0.863,927.7,
BTC-USDT-SWAP-SHORT-1778632135000-3,2026-05-13,SHORT,RANGE,WEAK_WIN_2,2.444,-0.776,905.5,
BTC-USDT-SWAP-LONG-1778641828000-9,2026-05-13,LONG,RANGE,MID,0.404,-2.804,,
BTC-USDT-SWAP-SHORT-1778644071000-10,2026-05-13,SHORT,RANGE,STRONG_3,3.019,-0.183,596.5,717.4
BTC-USDT-SWAP-LONG-1778657241000-12,2026-05-13,LONG,RANGE,MID,0.553,-2.66,,
BTC-USDT-SWAP-LONG-1778644566000-11,2026-05-13,LONG,RANGE,MID,0.133,-3.067,,
BTC-USDT-SWAP-SHORT-1778636116000-8,2026-05-13,SHORT,RANGE,STRONG_2_5,2.859,-0.348,806.4,849.9
BTC-USDT-SWAP-LONG-1778665087000-13,2026-05-13,LONG,RANGE,MID,0.043,-3.096,,
BTC-USDT-SWAP-SHORT-1778634622000-6,2026-05-13,SHORT,RANGE,STRONG_2_5,2.612,-0.603,854.1,882.0
BTC-USDT-SWAP-SHORT-1778670952000-15,2026-05-13,SHORT,RANGE,WEAK_WIN_2,2.336,-0.077,275.7,
BTC-USDT-SWAP-SHORT-1778670977000-16,2026-05-13,SHORT,RANGE,WEAK_WIN_2,2.336,-0.077,275.7,
BTC-USDT-SWAP-LONG-1778669950000-14,2026-05-13,LONG,RANGE,MID,0.031,-2.38,,
BTC-USDT-SWAP-SHORT-1778674814000-17,2026-05-13,SHORT,RANGE,MID,1.883,-0.106,,
BTC-USDT-SWAP-SHORT-1778675404000-18,2026-05-13,SHORT,RANGE,MID,1.839,-0.15,,
BTC-USDT-SWAP-LONG-1778678298000-19,2026-05-13,LONG,RANGE,MID,0.006,-1.912,,
BTC-USDT-SWAP-SHORT-1778679915000-20,2026-05-13,SHORT,RANGE,MID,1.195,-0.464,,
BTC-USDT-SWAP-LONG-1778681758000-24,2026-05-13,LONG,RANGE,MID,0.696,-1.187,,
BTC-USDT-SWAP-LONG-1778681003000-23,2026-05-13,LONG,RANGE,MID,0.412,-1.247,,
BTC-USDT-SWAP-SHORT-1778685935000-26,2026-05-13,SHORT,RANGE,MID,0.642,-2.399,,
BTC-USDT-SWAP-LONG-1778680985000-22,2026-05-13,LONG,RANGE,MID,0.412,-1.247,,
BTC-USDT-SWAP-SHORT-1778685855000-25,2026-05-13,SHORT,RANGE,MID,0.651,-2.389,,
BTC-USDT-SWAP-SHORT-1778680295000-21,2026-05-13,SHORT,RANGE,MID,1.165,-0.495,,
BTC-USDT-SWAP-LONG-1778686342000-27,2026-05-13,LONG,RANGE,WEAK_WIN_2,2.392,-0.648,1387.3,
