comparison,feature,median_win,median_noise,cohen_d,auc,precision_top_decile,recall,sign_stability_by_date,sign_stability_by_direction,live_valid
hit2_vs_noise,reclaim_zoneMid,1,1,0.1,0.521,0.169,0.789,0.73,"{""LONG"": 0, ""SHORT"": 0.0}",YES
hit2_vs_noise,opposing_wall_score,71,73,0.067,0.511,0.273,0.158,0.55,"{""LONG"": -10, ""SHORT"": 3.0}",YES
hit2_vs_noise,range_pos,0.595,0.483,0.031,0.507,0.091,0.053,0.73,"{""LONG"": -0.12, ""SHORT"": 0.17}",YES
hit2_vs_noise,dist_to_range_low_pct,0.595,0.483,0.031,0.507,0.091,0.053,0.73,"{""LONG"": -0.12, ""SHORT"": 0.17}",YES
hit2_vs_noise,dist_to_range_high_pct,0.405,0.517,-0.031,0.493,0.091,0.053,0.73,"{""LONG"": 0.12, ""SHORT"": -0.17}",YES
hit2_vs_noise,is_asia_session,1,1,0.022,0.506,0.164,0.526,0.64,"{""LONG"": 1, ""SHORT"": -1.0}",YES
hit2_vs_noise,refill_proxy_eng,0.5003,0.5005,-0.124,0.502,0.091,0.053,0.45,"{""LONG"": -0.0, ""SHORT"": 0.0}",YES
strong_vs_weak_hit2,microprice_5m_bps,2.2355,0.616,0.938,0.775,1.0,0.125,0.0,"{""LONG"": 4.931, ""SHORT"": 1.122}",YES
strong_vs_weak_hit2,opposing_wall_score,65.0,79,-0.861,0.278,1.0,0.125,0.0,"{""LONG"": 2.5, ""SHORT"": -14}",YES
strong_vs_weak_hit2,thin_path_score,0.0973,0.0947,0.892,0.716,1.0,0.125,0.0,"{""LONG"": 0.003, ""SHORT"": 0.002}",YES
strong_vs_weak_hit2,ofi_slope_5m_30m,9315.15,-3663.71,0.581,0.682,0.0,0.0,1.0,"{""LONG"": 9510.01, ""SHORT"": 22398.59}",YES
strong_vs_weak_hit2,taker_slope_5m_30m,-0.0759,-0.1794,0.649,0.67,0.0,0.0,0.0,"{""LONG"": 0.248, ""SHORT"": 0.092}",YES
strong_vs_weak_hit2,wall_persistence_sec,276.5,285,-0.603,0.33,1.0,0.125,1.0,"{""LONG"": -26.0, ""SHORT"": -4}",YES
strong_vs_weak_hit2,taker_sign_change_5m_30m,0.0,0,-0.78,0.335,0.538,0.875,0.0,"{""LONG"": -1.0, ""SHORT"": 0}",YES
strong_vs_weak_hit2,refill_proxy_eng,0.5003,0.5017,-0.471,0.352,0.0,0.0,0.0,"{""LONG"": -0.001, ""SHORT"": 0.0}",YES
strong_vs_weak_hit2,supp_refill_ratio_5m,0.9998,1.0013,-0.454,0.369,0.0,0.0,1.0,"{""LONG"": -0.002, ""SHORT"": -0.001}",YES
strong_vs_weak_hit2,dist_to_range_mid_pct,0.2585,0.233,0.436,0.625,1.0,0.125,1.0,"{""LONG"": 0.046, ""SHORT"": 0.019}",YES
strong_vs_weak_hit2,taker_imb_15m,-0.1181,-0.0924,-0.398,0.398,1.0,0.125,1.0,"{""LONG"": 0.05, ""SHORT"": -0.058}",YES
strong_vs_weak_hit2,local_volatility_180m,0.8769,0.8199,0.539,0.591,1.0,0.125,1.0,"{""LONG"": 0.137, ""SHORT"": -0.444}",YES
strong_vs_weak_hit2,is_asia_session,1.0,0,0.347,0.585,0.5,0.625,0.0,"{""LONG"": 0.0, ""SHORT"": 1}",YES
strong_vs_weak_hit2,sweep_high,0.0,0,-0.377,0.426,0.467,0.875,1.0,"{""LONG"": 0.0, ""SHORT"": 0}",YES
