cluster_id,rep_zone_id,date,direction,confirmedTs,entry,outcome_class,hit2,hit2_5,hit3,MFE,MAE,time_to_2_min,time_to_2_5_min,time_to_3_min,zones_in_cluster,duplicate_count,regime,setup_family,is_live_detectable,range_pos,dist_to_range_low_pct,dist_to_range_high_pct,dist_to_range_mid_pct,sweep_high,sweep_low,reclaim_zoneMid,rejection_proof,OFI,taker_imb_15m,taker_imb_5m,microprice_5m_bps,thin_path_score,opposing_wall_score,wall_persistence_sec,refill_proxy_eng,supp_refill_ratio_5m,entropy,prior_move_60m,prior_move_180m,prior_move_1d,local_volatility_180m,net_flow_5m,depth_imb_top25
noise|SHORT|2026-05-11|1778474516000,BTC-USDT-SWAP-SHORT-1778474328000-16,2026-05-11,SHORT,1778474516000,80761.9,NOISE,0,0,0,1.655,-1.901,,,,11,10,RANGE,ABSORPTION_REVERSAL,1,0.248,0.248,0.752,0.252,0,0,1,0,0.05004546422831453,-0.1187,-0.0947,0.658,0.0971,69,261,0.4985724175694018,1.0003,0.3509,0.1509,-0.941,-0.0102,1.3104,1944.86,-0.4894
noise|SHORT|2026-05-11|1778504183000,BTC-USDT-SWAP-SHORT-1778504003000-19,2026-05-11,SHORT,1778504183000,81019.0,NOISE,0,0,0,0.758,-1.334,,,,1,0,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.358,0.358,0.642,0.14200000000000002,1,0,1,1,0.10575718136484492,0.064,-0.3548,1.608,0.0974,63,287,0.4990225802487537,0.9988,0.3049,-0.1068,0.1372,0.1808,0.5911,-2218.22,0.4548
noise|SHORT|2026-05-12|1778550157000,BTC-USDT-SWAP-SHORT-1778549369000-8,2026-05-12,SHORT,1778550157000,80811.0,NOISE,0,0,0,1.277,-0.608,,,,1,0,RANGE,UNCLEAR,0,0.12,0.12,0.88,0.38,0,0,1,1,-0.06362533644079142,0.0927,-0.0919,10.02,0.089,95,276,0.49939369875119405,0.9971,0.2253,-0.8308,-1.1362,-0.8686,1.5014,-36193.03,-0.7876
noise|SHORT|2026-05-12|1778582041000,BTC-USDT-SWAP-SHORT-1778581861000-9,2026-05-12,SHORT,1778582041000,80630.3,NOISE,0,0,0,1.056,-1.027,,,,2,1,RANGE,UNCLEAR,0,0.013,0.013,0.987,0.487,0,0,1,1,-0.29993517460901703,0.1379,-0.1135,6.619,0.0928,57,280,0.500206092268137,1.0021,0.0945,-0.305,-0.4903,-0.5865,0.4995,351.0,0.9812
noise|SHORT|2026-05-12|1778600623000,BTC-USDT-SWAP-SHORT-1778600318000-14,2026-05-12,SHORT,1778600623000,80325.8,NOISE,0,0,0,1.68,-1.238,,,,2,1,RANGE,UNCLEAR,0,0.236,0.236,0.764,0.264,0,1,0,1,0.01604561519114086,-0.1232,-0.0939,1.485,0.0937,96,289,0.4987554142881464,0.9978,0.2079,-0.5455,-0.6559,-1.0811,1.0068,-12214.78,-0.5291
noise|SHORT|2026-05-13|1778675404000,BTC-USDT-SWAP-SHORT-1778674814000-17,2026-05-13,SHORT,1778675404000,80232.3,NOISE,0,0,0,1.883,-2.399,,,,6,5,RANGE,UNCLEAR,0,0.085,0.085,0.915,0.415,0,0,1,1,-0.15478702289855029,0.1656,-0.1264,-0.014,0.0945,54,250,0.5017423941505215,0.9998,0.3151,-0.3599,-1.1229,-0.6802,1.417,7005.85,0.2361
noise|SHORT|2026-05-14|1778719297000,BTC-USDT-SWAP-SHORT-1778719099000-3,2026-05-14,SHORT,1778719297000,79550.7,NOISE,0,0,0,0.889,-3.379,,,,5,4,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.925,0.925,0.07499999999999996,0.42500000000000004,0,0,1,0,0.12473495950239871,-0.2243,-0.3406,-0.084,0.0935,75,272,0.5005207814790289,1.0018,0.443,0.3479,0.1155,-1.4573,0.519,4916.46,0.4028
noise|SHORT|2026-05-14|1778737386000,BTC-USDT-SWAP-SHORT-1778737092000-12,2026-05-14,SHORT,1778737386000,79660.7,NOISE,0,0,0,0.591,-2.938,,,,1,0,RANGE,RANGE_FADE_HIGH_TO_LOW,1,0.914,0.914,0.08599999999999997,0.41400000000000003,0,0,1,1,-0.2698754241808875,-0.254,-0.1578,2.402,0.0944,67,280,0.4986241944041582,1.0011,0.2876,0.417,0.1645,-1.6604,1.107,3057.82,-0.6122
noise|SHORT|2026-05-14|1778746559000,BTC-USDT-SWAP-SHORT-1778744808000-15,2026-05-14,SHORT,1778746559000,79821.4,NOISE,0,0,0,0.791,-2.731,,,,1,0,RANGE,RANGE_FADE_HIGH_TO_LOW,0,0.755,0.755,0.245,0.255,0,0,0,0,-0.059933870084893696,-0.0112,-0.2864,0.604,0.0929,84,259,0.4990452324393235,1.0025,0.4764,0.1371,0.5752,-1.4551,0.7653,6262.84,-0.2042
noise|SHORT|2026-05-14|1778766124000,BTC-USDT-SWAP-SHORT-1778765261000-20,2026-05-14,SHORT,1778766124000,79717.5,NOISE,0,0,0,0.664,-2.864,,,,1,0,RANGE,LIQUIDITY_SWEEP_REVERSAL,1,0.618,0.618,0.382,0.118,1,0,1,1,0.12309405658520418,0.1376,-0.0979,0.187,0.0943,51,284,0.4994673361210722,1.0015,0.3525,0.1455,0.3745,-0.1267,1.0779,14221.46,0.8708
noise|SHORT|2026-05-15|1778854064000,BTC-USDT-SWAP-SHORT-1778851671000-20,2026-05-15,SHORT,1778854064000,78907.9,NOISE,0,0,0,1.658,-0.788,,,,1,0,RANGE,UNCLEAR,0,0.152,0.152,0.848,0.348,0,1,1,0,0.1612582560243769,-0.0258,-0.1122,-0.0,0.0958,73,0,0.4991773470917982,0.9998,0.5287,-1.4784,-2.0865,-0.8748,2.6803,685.39,-0.0949
noise|SHORT|2026-05-16|1778893494000,BTC-USDT-SWAP-SHORT-1778892117000-4,2026-05-16,SHORT,1778893494000,79063.6,NOISE,0,0,0,1.927,-0.17,,,,3,2,TREND_DOWN,TREND_CONTINUATION,1,0.412,0.412,0.5880000000000001,0.08800000000000002,0,0,1,0,-0.011694108014737999,0.0951,-0.1399,0.264,0.098,53,298,0.4997449610050578,1.0001,0.3491,-0.0584,0.0615,-3.0489,0.288,4649.05,0.9055
