cluster_id,exchange,window_id,date,ts_start,direction_candidate,entry_price,future_mfe_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2,time_to_2_5,time_to_3,duplicate_cluster_size,is_primary_cluster
By-W4_APRIL-SHORT-2,Bybit,W4_APRIL,2024-04-12,2024-04-12T15:22:00+00:00,SHORT,69530.95,2.036,1,0,0,0,0,WIN,123,,,1,1
By-W4_APRIL-SHORT-3,Bybit,W4_APRIL,2024-04-12,2024-04-12T19:07:00+00:00,SHORT,66721.95,1.394,0,0,0,0,1,TIMEOUT,,,,1,1
By-W4_APRIL-SHORT-4,Bybit,W4_APRIL,2024-04-12,2024-04-12T21:52:00+00:00,SHORT,66949.85,1.779,0,0,0,0,1,TIMEOUT,,,,2,1
By-W4_APRIL-SHORT-5,Bybit,W4_APRIL,2024-04-13,2024-04-13T02:11:00+00:00,SHORT,66342.55,0.094,0,0,0,1,0,LOSS,,,,2,1
By-W4_APRIL-SHORT-6,Bybit,W4_APRIL,2024-04-13,2024-04-13T06:47:00+00:00,SHORT,67346.45,0.396,0,0,0,0,1,TIMEOUT,,,,1,1
By-W4_APRIL-SHORT-7,Bybit,W4_APRIL,2024-04-13,2024-04-13T09:21:00+00:00,SHORT,67184.05,2.739,0,0,0,0,1,TIMEOUT,,,,8,1
By-W4_APRIL-SHORT-8,Bybit,W4_APRIL,2024-04-13,2024-04-13T21:45:00+00:00,SHORT,62222.05,0.098,0,0,0,1,0,LOSS,,,,1,1
By-W4_APRIL-SHORT-9,Bybit,W4_APRIL,2024-04-14,2024-04-14T00:47:00+00:00,SHORT,63875.85,2.138,1,0,0,0,0,WIN,138,,,2,1
By-W4_APRIL-SHORT-10,Bybit,W4_APRIL,2024-04-14,2024-04-14T08:17:00+00:00,SHORT,64591.75,2.14,0,0,0,0,1,TIMEOUT,,,,3,1
By-W4_APRIL-SHORT-11,Bybit,W4_APRIL,2024-04-14,2024-04-14T14:35:00+00:00,SHORT,63937.85,2.204,0,0,0,1,0,LOSS,,,,4,1
By-W4_APRIL-SHORT-12,Bybit,W4_APRIL,2024-04-14,2024-04-14T19:46:00+00:00,SHORT,64140.15,1.286,0,0,0,1,0,LOSS,,,,1,1
By-W4_APRIL-SHORT-13,Bybit,W4_APRIL,2024-04-14,2024-04-14T21:55:00+00:00,SHORT,63617.85,0.059,0,0,0,1,0,LOSS,,,,1,1
By-W4_APRIL-SHORT-14,Bybit,W4_APRIL,2024-04-15,2024-04-15T01:25:00+00:00,SHORT,65461.05,1.158,0,0,0,1,0,LOSS,,,,5,1
By-W4_APRIL-SHORT-15,Bybit,W4_APRIL,2024-04-15,2024-04-15T08:44:00+00:00,SHORT,66316.55,2.057,1,0,0,0,0,WIN,355,,,1,1
By-W4_APRIL-SHORT-16,Bybit,W4_APRIL,2024-04-15,2024-04-15T10:58:00+00:00,SHORT,66486.85,2.458,1,0,0,0,0,WIN,220,,,13,1
By-W4_APRIL-SHORT-17,Bybit,W4_APRIL,2024-04-16,2024-04-16T05:06:00+00:00,SHORT,62443.75,0.018,0,0,0,1,0,LOSS,,,,1,1
By-W4_APRIL-SHORT-18,Bybit,W4_APRIL,2024-04-16,2024-04-16T09:07:00+00:00,SHORT,63322.05,2.165,1,0,0,0,0,WIN,78,,,2,1
By-W4_APRIL-SHORT-19,Bybit,W4_APRIL,2024-04-16,2024-04-16T13:30:00+00:00,SHORT,63189.35,2.083,1,0,0,0,0,WIN,91,,,5,1
By-W4_APRIL-SHORT-20,Bybit,W4_APRIL,2024-04-16,2024-04-16T20:25:00+00:00,SHORT,62784.05,0.0,0,0,0,1,0,LOSS,,,,1,1
By-W4_APRIL-SHORT-21,Bybit,W4_APRIL,2024-04-16,2024-04-16T23:03:00+00:00,SHORT,63729.75,2.05,0,0,0,0,1,TIMEOUT,,,,5,1
By-W4_APRIL-SHORT-22,Bybit,W4_APRIL,2024-04-17,2024-04-17T06:39:00+00:00,SHORT,63909.35,2.112,1,0,0,0,0,WIN,316,,,4,1
