window_id,exchange,ts_min,date,ts_iso,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,net_taker_30m,taker_imb_30m,cvd_delta_60m,price_change_30m,sell_frac_30m,trade_count_spike,effort_vs_result_raw,vol_30m_btc
W1_NOVEMBER,Bybit,29395007,2025-11-21,2025-11-21T04:47:00+00:00,SHORT,85695.25,3.027,0.705,1,1,1,0,0,WIN,166,166,166,-0.364,-1.76,0.121,0.351,1.976,0.606,0.012,-0.1524,42.868,0.0264,-198.775,0.007,0.487,0.72,0.0002,1623.058
W1_NOVEMBER,Bybit,29395101,2025-11-21,2025-11-21T06:21:00+00:00,LONG,85732.75,0.065,3.069,0,0,0,1,0,LOSS,,,,-0.613,0.032,0.086,0.395,1.123,0.598,0.012,0.0637,-266.038,-0.2283,-185.095,-0.434,0.614,0.82,0.0991,1165.356
W1_NOVEMBER,Bybit,29395135,2025-11-21,2025-11-21T06:55:00+00:00,LONG,85616.45,0.032,2.937,0,0,0,1,0,LOSS,,,,-0.569,-0.359,0.077,0.258,0.792,0.257,0.012,0.1209,116.781,0.0719,-109.117,-0.047,0.464,1.1,-0.0034,1624.649
W1_NOVEMBER,Bybit,29395175,2025-11-21,2025-11-21T07:35:00+00:00,LONG,83765.55,1.039,1.501,0,0,0,1,0,LOSS,,,,-2.277,-1.976,0.167,0.799,2.936,2.993,0.034,0.1098,-4442.46,-0.2064,-4921.523,-2.13,0.603,3.43,0.4397,21522.772
W1_NOVEMBER,Bybit,29395214,2025-11-21,2025-11-21T08:14:00+00:00,SHORT,84461.35,2.01,0.207,1,0,0,0,0,WIN,78,,,-1.187,-1.967,0.191,1.636,2.13,1.033,0.02,0.0703,385.455,0.0516,-4182.244,0.179,0.474,1.26,0.0092,7475.229
W1_NOVEMBER,Bybit,29395244,2025-11-21,2025-11-21T08:44:00+00:00,LONG,83771.35,0.186,1.507,0,0,0,1,0,LOSS,,,,-0.64,-2.605,0.195,0.806,2.93,1.058,0.012,-0.1713,-243.383,-0.0684,91.717,-0.817,0.534,0.65,0.0559,3559.781
W1_NOVEMBER,Bybit,29395278,2025-11-21,2025-11-21T09:18:00+00:00,LONG,83592.65,0.023,1.619,0,0,0,1,0,LOSS,,,,-0.974,-2.493,0.198,0.591,3.137,0.374,0.012,0.1442,202.183,0.0792,-61.64,-0.282,0.46,0.55,-0.0223,2552.759
W1_NOVEMBER,Bybit,29395316,2025-11-21,2025-11-21T09:56:00+00:00,LONG,82453.75,0.973,1.63,0,0,0,1,0,LOSS,,,,-1.59,-3.619,0.203,0.424,4.317,1.316,0.014,-0.0414,-2423.131,-0.2687,-3204.385,-0.836,0.634,0.93,0.2246,9017.405
W1_NOVEMBER,Bybit,29395355,2025-11-21,2025-11-21T10:35:00+00:00,SHORT,82504.95,2.189,0.911,1,0,0,0,0,WIN,113,,,-0.514,-1.505,0.155,0.813,3.748,0.831,0.012,0.0432,1218.082,0.1729,152.701,0.603,0.414,0.98,0.1043,7045.984
W1_NOVEMBER,Bybit,29395433,2025-11-21,2025-11-21T11:53:00+00:00,LONG,82253.85,0.097,1.89,0,0,0,1,0,LOSS,,,,-0.556,-1.778,0.128,0.506,2.815,1.081,0.012,0.1579,-689.087,-0.2399,-395.919,-1.051,0.62,0.66,0.2521,2872.507
